model,seed,acc,macro_f1,weighted_f1
GCN_GFEN,701,0.782608696,0.219512195,0.687168611
GCN_GFEN,123,0.869565217,0.430769231,0.826755853
GCN_GFEN,100,0.891304348,0.464114833,0.840232994
GCN_GFEN,1314,0.869565217,0.433766234,0.818746471
GCN_GFEN,20,0.956521739,0.49375,0.935326087
GIN_GFEN,701,0.630434783,0.353125,0.667753623
GIN_GFEN,123,0.869565217,0.599061033,0.846335987
GIN_GFEN,100,0.826086957,0.382857143,0.794782609
GIN_GFEN,1314,0.847826087,0.433333333,0.817391304
GIN_GFEN,20,0.782608696,0.353007519,0.808139915
SAGE_GFEN,701,0.847826087,0.421266234,0.780702993
SAGE_GFEN,123,0.782608696,0.219512195,0.687168611
SAGE_GFEN,100,0.891304348,0.448333333,0.841884058
SAGE_GFEN,1314,0.869565217,0.433766234,0.818746471
SAGE_GFEN,20,0.847826087,0.229411765,0.778005115
GCN_Global,701,0.782608696,0.4,0.705590062
GCN_Global,123,0.891304348,0.41025641,0.848383501
GCN_Global,100,0.847826087,0.423016496,0.813415759
GCN_Global,1314,0.891304348,0.467255717,0.840142818
GCN_Global,20,0.847826087,0.450634058,0.77839477
SAGE_Global,701,0.782608696,0.429166667,0.727173913
SAGE_Global,123,0.869565217,0.44481982,0.810321191
SAGE_Global,100,0.826086957,0.405797101,0.758664146
SAGE_Global,1314,0.891304348,0.44025974,0.842574816
SAGE_Global,20,0.847826087,0.399107143,0.826708075
GAT-MLP,20,0.956521739,0.640692641,0.950122341
GAT-MLP,100,0.934782609,0.762182637,0.921865541
GAT-MLP,123,0.891304348,0.689726027,0.891026405
GAT-MLP,701,0.869565217,0.653153153,0.849001175
GAT-MLP,1314,0.869565217,0.705555556,0.848792271
GCN,701,0.673913043,0.495394223,0.706051658
GCN,123,0.52173913,0.246414602,0.534550196
GCN,100,0.434782609,0.214420063,0.460024533
GCN,1314,0.760869565,0.216049383,0.6575416
GCN,20,0.608695652,0.447988506,0.67866067
GIN,701,0.586956522,0.366134929,0.664412559
GIN,123,0.52173913,0.360211426,0.578575759
GIN,100,0.565217391,0.304087737,0.602366813
GIN,1314,0.586956522,0.28852459,0.617248753
GIN,20,0.391304348,0.292849308,0.480365329
SAGE,701,0.673913043,0.255952381,0.640786749
SAGE,123,0.543478261,0.38965849,0.604989857
SAGE,100,0.739130435,0.2125,0.62826087
SAGE,1314,0.739130435,0.347619048,0.710144928
SAGE,20,0.760869565,0.216049383,0.6575416
GIN_GlobalLateFusion,701,0.695652174,0.462121212,0.732147563
GIN_GlobalLateFusion,123,0.826086957,0.430743243,0.799500588
GIN_GlobalLateFusion,100,0.891304348,0.448333333,0.841884058
GIN_GlobalLateFusion,1314,0.847826087,0.465653153,0.834508421
GIN_GlobalLateFusion,20,0.934782609,0.45508658,0.927395069
