method,seed,unit,name,metric,value
method1,20,baseline,DT,acc,0.5912408759124088
method1,20,baseline,DT,macro_f1,0.5597073812263685
method1,20,baseline,DT,weighted_f1,0.6126927862860599
method1,100,baseline,DT,acc,0.4233576642335766
method1,100,baseline,DT,macro_f1,0.44006800849123356
method1,100,baseline,DT,weighted_f1,0.4546680837852216
method1,123,baseline,DT,acc,0.5547445255474452
method1,123,baseline,DT,macro_f1,0.5637823245240124
method1,123,baseline,DT,weighted_f1,0.5746411036645697
method1,701,baseline,DT,acc,0.6058394160583942
method1,701,baseline,DT,macro_f1,0.49518727152873493
method1,701,baseline,DT,weighted_f1,0.6229364613128189
method1,1314,baseline,DT,acc,0.46715328467153283
method1,1314,baseline,DT,macro_f1,0.4155571861966553
method1,1314,baseline,DT,weighted_f1,0.4997008405637078
method1,20,baseline,KNN,acc,0.5182481751824818
method1,20,baseline,KNN,macro_f1,0.5962420255183413
method1,20,baseline,KNN,weighted_f1,0.5427988102306196
method1,100,baseline,KNN,acc,0.44525547445255476
method1,100,baseline,KNN,macro_f1,0.45905483405483405
method1,100,baseline,KNN,weighted_f1,0.4787604933590334
method1,123,baseline,KNN,acc,0.5036496350364964
method1,123,baseline,KNN,macro_f1,0.4972270080965733
method1,123,baseline,KNN,weighted_f1,0.5316145941344291
method1,701,baseline,KNN,acc,0.5474452554744526
method1,701,baseline,KNN,macro_f1,0.4603835765540595
method1,701,baseline,KNN,weighted_f1,0.5684586257975024
method1,1314,baseline,KNN,acc,0.5620437956204379
method1,1314,baseline,KNN,macro_f1,0.5673809523809523
method1,1314,baseline,KNN,weighted_f1,0.5826555439694125
method1,20,baseline,RF,acc,0.5036496350364964
method1,20,baseline,RF,macro_f1,0.5013692281766093
method1,20,baseline,RF,weighted_f1,0.5205367312948517
method1,100,baseline,RF,acc,0.45255474452554745
method1,100,baseline,RF,macro_f1,0.4308179073823246
method1,100,baseline,RF,weighted_f1,0.48040513892289455
method1,123,baseline,RF,acc,0.5182481751824818
method1,123,baseline,RF,macro_f1,0.5928222850768863
method1,123,baseline,RF,weighted_f1,0.5444160089608121
method1,701,baseline,RF,acc,0.5401459854014599
method1,701,baseline,RF,macro_f1,0.45889992360580595
method1,701,baseline,RF,weighted_f1,0.551916267502356
method1,1314,baseline,RF,acc,0.5328467153284672
method1,1314,baseline,RF,macro_f1,0.5120704258034575
method1,1314,baseline,RF,weighted_f1,0.5478875985240553
method1,20,baseline,SVM,acc,0.5985401459854015
